rank,name,tournament,year,variant,offsteam_listings,offsteam_censored,steam_volume_30d,lis_price,steam_price,steam_as_of,cagr_3y,history_years
57,Sticker | BIG (Foil) | Katowice 2019,Katowice 2019,2019,Foil,6,0,13,20.185000000000002,14.306,2026-01-27,0.19109568738143867,6.97
58,Sticker | BIG (Foil) | London 2018,London 2018,2018,Foil,4,0,4,28.450000000000003,19.622,2026-01-28,0.1899320493526413,7.41
59,Sticker | Cloud9 (Foil) | Katowice 2019,Katowice 2019,2019,Foil,19,0,12,29.97,31.968,2026-02-01,0.18719704833730266,6.98
60,Sticker | 9z Team (Holo) | Antwerp 2022,Antwerp 2022,2022,Holo,131,0,127,7.66,16.563399999999998,2026-03-11,0.18345350675967342,3.85
61,Sticker | FaZe Clan (Foil) | Cologne 2016,Cologne 2016,2016,Foil,11,0,1,76.63,49.15,2026-02-11,0.1773715886059961,9.63
62,Sticker | Counter Logic Gaming (Foil) | MLG Columbus 2016,MLG Columbus 2016,2016,Foil,11,0,6,119.7,61.107,2026-03-08,0.15892707185263566,9.97
63,Sticker | Avangar (Foil) | Boston 2018,Boston 2018,2018,Foil,9,0,1,54.38,40.389,2026-01-13,0.15055516069979746,8.07
64,Sticker | Tyloo (Holo) | Boston 2018,Boston 2018,2018,Holo,18,0,5,152.10000000000002,175.078,2026-03-03,0.14955621628044735,8.2
65,Sticker | Counter Logic Gaming (Foil) | Cologne 2016,Cologne 2016,2016,Foil,22,0,1,84.39500000000001,70.173,2026-03-08,0.1491611679878797,9.7
66,Sticker | Gambit Gaming | Atlanta 2017,Atlanta 2017,2017,Paper,8,0,51,2.58,3.4805,2026-04-15,0.14724692625350566,9.25
67,Sticker | Gambit Gaming (Foil) | Cologne 2016,Cologne 2016,2016,Foil,4,0,1,47.42,24.85,2026-03-08,0.1442233043881831,9.7
68,Sticker | Cloud9 (Holo) | Krakow 2017,Krakow 2017,2017,Holo,9,0,5,46.18,49.211,2026-04-21,0.13423595616819584,8.79
69,Sticker | Astralis | Stockholm 2021,Stockholm 2021,2021,Paper,82,0,653,0.76,0.34451785714285715,2026-02-04,0.12806337338349238,4.29
70,Sticker | DD | London 2018,London 2018,2018,Paper,4,0,7,5.8100000000000005,1.784,2026-03-05,0.08132425685117228,7.51
71,Sticker | Avangar | Boston 2018,Boston 2018,2018,Paper,5,0,8,4.76,6.9235,2026-02-02,0.0570445567163369,8.12
72,Sticker | Cloud9 (Foil) | Krakow 2017,Krakow 2017,2017,Foil,4,0,4,101.88,104.749,2026-02-27,0.03822467328948376,8.64
73,Sticker | Flipsid3 Tactics (Foil) | Cologne 2016,Cologne 2016,2016,Foil,6,0,3,52.85,50.03,2026-04-06,0.029974034274238948,9.78
74,Sticker | BIG | Katowice 2019,Katowice 2019,2019,Paper,13,0,37,2.81,4.734,2024-09-04,0.008303887645404684,5.57
75,Sticker | B1ad3 (Foil) | Krakow 2017,Krakow 2017,2017,Foil,20,0,5,50.34,36.88675,2026-01-23,-0.009249215566741187,8.55
76,Sticker | DeadFox (Foil) | Katowice 2019,Katowice 2019,2019,Foil,3,0,22,14.69,3.965,2026-04-06,-0.03115961377576404,7.16
77,Sticker | AdreN (Foil) | Katowice 2019,Katowice 2019,2019,Foil,14,0,18,8.024999999999999,3.566,2026-04-16,-0.03473613380503249,7.19
78,Sticker | Entropiq (Foil) | Stockholm 2021,Stockholm 2021,2021,Foil,25,0,129,8.4,17.355,2026-03-13,-0.03701215251834,4.39
79,Sticker | Fnatic (Foil) | Boston 2018,Boston 2018,2018,Foil,3,0,1,63.45,29.184,2024-09-20,-0.049657573932317844,6.75
80,Sticker | Gambit Gaming (Foil) | Atlanta 2017,Atlanta 2017,2017,Foil,6,0,3,72.72,32.127,2026-02-02,-0.13703003867836594,9.05
81,Sticker | 00 Nation | Rio 2022,Rio 2022,2022,Paper,126,0,2835,0.61,0.15141666666666664,2026-02-04,-0.2407831104946414,3.29
unranked,Sticker | Astralis (Foil) | Krakow 2017,Krakow 2017,2017,Foil,9,0,,22.61,,,unknown,
unranked,Sticker | Cloud9 | Krakow 2017,Krakow 2017,2017,Paper,33,0,,1.8,,,unknown,
unranked,Sticker | FaZe Clan (Foil) | Krakow 2017,Krakow 2017,2017,Foil,10,0,,47.34,,,unknown,
unranked,Sticker | FaZe Clan (Holo) | Krakow 2017,Krakow 2017,2017,Holo,18,0,,30.05,,,unknown,
unranked,Sticker | FaZe Clan | Krakow 2017,Krakow 2017,2017,Paper,10,0,,1.85,,,unknown,
unranked,Sticker | Fnatic (Holo) | Boston 2018,Boston 2018,2018,Holo,11,0,,37.48,,,unknown,
unranked,Sticker | Fnatic | Boston 2018,Boston 2018,2018,Paper,6,0,,2.13,,,unknown,
unranked,Sticker | SK Gaming (Foil) | Boston 2018,Boston 2018,2018,Foil,3,0,,68.73,,,unknown,
unranked,Sticker | SK Gaming (Holo) | Boston 2018,Boston 2018,2018,Holo,9,0,,140.63,,,unknown,
unranked,Sticker | Tyloo (Foil) | Boston 2018,Boston 2018,2018,Foil,7,0,1,355.03,419.048,2025-12-20,unknown,8.0
unranked,Sticker | Tyloo | Boston 2018,Boston 2018,2018,Paper,50,0,,5.31,,,unknown,
